1275,NAI
1276,NAIDU
1278,NAMDEV
1287,NAT
1291,NAYAK
1296,NETAM
1297,NETI
1309,NIRMALKAR
1316,NISHAD
1317,NISHADRAJ
1329,OJHA
1334,OTTE
1336,PADEY
1340,PAHADI
1343,PAHARE
1346,PAIKRA
1350,PAL
1352,PALEKAR
1355,PAMNANI
1360,PANDEY
1362,PANDO
1367,PANIKA
1374,PANT
1379,PARIDA
1380,PARIHAR
1384,PARMAR
1392,PASWAN
1396,PATANWAR
1397,PATEL
1400,PATHAK
1403,PATIL
1404,PATKAR
1405,PATLE
1407,PATRAVANI
1408,PATRE
1409,PATUVA
1412,PAV
1416,PAWAR
1428,PORTE
1432,PRABHAKAR
1433,PRABHAWANI
1437,PRADHAN
1439,PRAJAPATI
1446,PRASTE
1454,PURI
1457,RABALANI
1464,RAGHUVANSHI
1469,RAI
1470,RAIDAS
1476,RAJAK
1478,RAJGIR
1482,RAJPUT
1484,RAJWADE
1492,RANA
1504,RATHI
1505,RATHIYA
1510,RATHOUR
1514,RATNAKAR
1517,RATRE
1520,RAUTEL
1522,RAV
1523,RAVAT
1532,RELWANI
1540,ROHARA
1544,ROHIDAS
1562,SAHARE
1563,SAHEB
1566,SAHIS
1569,SAHU
1570,SAI
1573,SAINIK
1578,SAKAT
1582,SAKSENA
1584,SALUJA
1586,SAMUDARE
1592,SANDIL
1601,SANYASI
1605,SAPHARE
1609,SARAPH
1612,SARDAR
1615,SARIVAN
1619,SAROTE
1620,SARTHI
1632,SATNAMI
1643,SAURA
1645,SAUTA
1646,SAUTAR
1649,SAW
1654,SAY
1658,SEEPAR
1659,SEN
1664,SETH
1667,SHAH
1673,SHARMA
1680,SHIKARI
1682,SHINDE
1687,SHIRIVAS
1692,SHIRVASTAV
1699,SHIVHARE
1719,SHUKLA
1721,SHWARNKAR
1724,SIDAR
1725,SIGHARAUL
1745,SINDHI
1748,SINGAUR
1754,SINGHORE
1764,SINHA
1774,SOLANAKI
1777,SONA
1778,SONAR
1779,SONCHE
1784,SONI
1785,SONKAR
1792,SONWANI
1798,SOUTA
1814,SURAYAVANSHI
1869,TAMBOLI
1870,TAMER
1871,TAMRAKAR
1873,TANDAN
1875,TANDE
1876,TANDI
1880,TANVAR
1883,TEKAM
1886,TELGU
1887,TELI
1891,THAKARE
1893,THAKUR
1896,THAVAAIT
1908,TIGGA
1917,TIRKI
1921,TIWARI
1925,TOMAR
1929,TRIPATHI
1930,TRIVEDI
1933,UAIKE
1959,URAV
1974,VAISHNAV
1979,VANI
1981,VARMA
1982,VARMAN
1996,VASTRAKAR
2001,VERMA
2037,VISHVKARAMA
2056,YADAV
2066,YOGI
